411.0	2161.5	65.9
23.5	48.7	40.1
21.2	271.1	66.5
24.0	542.3	77.1
19.1	275.6	53.1
17.3	23.3	74.4
11.8	296.9	44.2
201.6	23.6	60.2
18.1	22.6	60.5
64.7	19.7	49.2
9.4	186.4	43.6
9.0	25.5	37.2
12.3	36.6	82.8
13.2	28.3	60.2
4.4	212.5	45.5
4.1	116.7	32.5
7.0	27.8	23.5
13.2	27.0	51.1
4.0	33.0	27.9
14.9	15.8	38.6
14.3	37.4	40.9
11.1	22.7	36.2
5.2	40.5	34.0
4.9	33.6	38.2
39.8	52.1	54.1
15.5	45.1	79.6
5.2	29.7	104.4
91.2	26.8	73.0
11.0	30.5	45.6
29.8	56.4	58.5
8.0	32.1	30.1
94.4	29.7	118.1
22.3	53.1	49.5
24.8	59.4	71.3
20.7	38.7	58.5
20.9	47.3	57.3
81.1	0.1	52.0
15.8	44.7	52.4
22.0	64.9	36.7
16.6	33.8	63.2
50.2	51.1	56.2
162.7	0.5	81.4
16.0	39.7	42.5
13.8	28.6	57.0
31.4	25.6	51.3
17.1	20.1	28.5
7.2	66.0	57.6
25.4	13.3	44.4
13.8	37.7	43.2
21.9	26.7	33.4
37.7	27.5	51.6
34.8	15.2	115.4
4.7	53.7	83.4
11.1	40.0	30.1
15.1	32.3	97.7
20.7	26.9	63.9
18.9	34.6	68.4
5.8	25.3	32.1
6.6	27.2	26.5
14.0	26.9	53.1
22.2	31.2	39.3
16.5	31.1	67.2
2.7	45.1	58.5
16.5	32.2	36.1
7.5	82.5	65.6
92.6	26.0	46.0
89.2	24.2	71.7
6.9	44.1	100.4
4.9	92.2	39.8
6.4	98.4	29.6
83.4	23.8	82.1
9.5	94.1	45.4
14.1	27.0	37.5
15.7	105.0	81.9
57.2	131.7	163.7
107.5	214.9	163.2
15.1	100.4	78.0
367.2	28.6	45.3
18.4	19.3	50.4
9.0	157.5	59.2
15.4	35.0	60.9
23.0	45.9	57.1
114.8	22.3	51.1
12.1	95.5	29.4
87.9	27.7	46.2
90.6	32.0	50.7
16.8	128.8	67.8
6.1	29.3	81.9
15.5	21.1	89.3
10.8	96.7	25.7
10.1	102.0	38.5
168.7	27.9	47.9
11.3	97.8	25.2
83.3	15.9	30.2
10.8	103.2	44.4
14.2	104.3	40.7
88.3	21.7	44.6
15.5	100.6	50.3
10.4	98.0	41.9
141.8	36.0	36.5
12.6	105.1	55.4
107.5	31.8	48.8
94.6	30.1	50.0
51.1	57.4	48.0
8.0	108.9	72.3
21.1	61.8	77.2
45775.9	66.1	2085.1
87.4	42.4	70.8
24.3	39.2	30.4
5.9	94.7	43.0
6.8	82.7	30.9
46.8	25.0	45.9
32.4	82.2	64.8
17.0	35.3	61.1
211.5	43.4	59.2
10.2	95.1	43.7
15.2	38.9	38.9
32.1	45.1	38.6
9.3	53.7	39.6
22.1	38.4	25.4
23.0	73.8	44.2
17.3	41.0	42.4
29.7	65.1	65.1
16.9	51.5	41.2
20.4	48.4	27.7
12.1	66.1	41.0
8.4	57.7	36.9
5.7	1885.1	97.4
2.7	92.3	37.0
7.9	80.6	40.9
19.7	44.6	31.6
8.2	41.2	36.2
24.6	67.0	35.3
18.5	31.2	33.5
11.6	59.7	43.6
13.3	138.1	40.9
862.1	59.1	67.5
18.4	52.6	34.0
17.1	45.3	21.3
5.7	51.3	26.1
19.4	43.5	32.8
98.7	37.0	29.6
11.0	44.7	24.7
23.4	119.6	42.6
9.3	2114.8	307.6
6.7	92.1	30.4
5072.4	143.2	79.5
9.0	64.0	33.6
23.2	119.9	36.7
8.2	87.1	37.4
14.4	28023.6	80.6
66.9	49.5	30.9
5.8	88.5	28.2
12.8	118.0	43.2
9.6	104.3	40.0
21.7	69.1	49.9
23.6	230.1	41.6
14.9	800.5	36.3
15.0	106.2	32.1
7.6	98.5	33.4
3.5	167.9	31.9
13.0	103.7	39.5
7.0	95.0	44.6
15.3	119.6	43.2
18.2	131.2	39.4
7.9	116.6	39.4
7.7	84.3	33.9
14.2	120.9	39.8
15.4	156.7	42.2
16.3	146.0	46.7
2380.2	57.1	41.7
17.9	272.0	46.0
12.4	134.7	55.8
27.7	286.5	64.1
13.3	131.8	63.3
268.2	43.9	55.3
122.0	54.4	51.4
33.5	132.2	57.9
31.0	32501.9	58.8
20.2	234.8	49.6
8.7	247.9	50.3
10.6	239.1	50.0
16.9	153.6	48.9
22.8	88.6	55.8
19.1	150.7	62.4
23.6	2443.8	64.0
16.2	262.7	53.7
21.1	109.5	40.9
22.6	184.0	50.3
3.1	224.7	56.1
8.2	69.3	42.1
21.6	336.5	67.5
18.8	308.5	61.4
30.5	2402.3	49.8
25.0	144.4	48.8
19.3	33204.9	153.1
25.0	280.3	63.7
27.0	328.0	65.7
24.1	151.1	53.6
16.6	307.4	61.7
19.4	2174.0	48.2
25.3	300.0	78.5
16.9	337.3	73.7
16.7	287.3	68.7
26.7	2249.6	64.4
426.7	74.2	60.6
25.7	268.9	74.6
27.7	287.2	52.7
23.4	278.9	45.8
19.0	285.4	54.0
18.2	2292.9	47.9
20.9	321.5	48.9
3.0	318.0	49.7
19.7	229.4	43.2
19.3	216.9	41.3
13.1	814.7	45.4
36749.7	119.8	46.6
17.5	253.8	42.5
18.3	587.2	52.4
23.0	5523.2	49.1
24.2	660.8	55.8
24.7	558.2	57.8
22.7	2341.8	47.9
19.4	478.1	49.9
26.3	524.1	62.2
27.8	534.7	56.3
15.7	536.5	58.2
19.6	601.2	54.7
35.5	2212.1	37.7
17.4	685.7	62.5
17.2	543.3	60.6
16.9	2200.1	48.1
19.4	442.6	57.9
